Id,Company,Status,Rep,Contact,Phone,Fax,Street Address,City/State/Zip,Email,Website,Product,"Currency","Credit Limit","Default Location",Payment Term, Shipper,Consignee,Smart Way Carriers Preferred,Flag,Billing Company,Billing Contact,Billing Phone,Billing Fax,Billing Address,Default Pay Day
"64828","21st Century Logistics LLC","Active","","","(913) 712-9498","","PO Box 24201 ","Stanley, KS 66283","","","ATV&#39;S","USD","10000","","","","","false","","21st Century Logistics LLC","","(913) 712-9498","","PO Box 24201 Stanley, KS 66283",""
"64355","A.G. TRANSPORTATION SYSTEMS, INC.","Active","","","(847) 201-7050","","910 N DUPAGE AVE ","LOMBARD, IL 60148","","","Flavoring","USD","10000","","","","","false","","A.G. TRANSPORTATION SYSTEMS, INC.","","(847) 201-7050","","910 N DUPAGE AVE LOMBARD, IL 60148",""
"64914","ADC Logistics LLC","Active","","","(503) 766-3004","","6333 NE 112th Ave Suite B ","Portland, OR 97220","","","cartridges, small arms, non-haz components for ammo","USD","10000","","","","","false","","ADC Logistics LLC","","(503) 766-3004","","6333 NE 112th Ave Suite B Portland, OR 97220",""
"61944","ADDTRAN LOGISTICS, INC","Active","","","(229) 438-0141","","P.O. BOX 50396 ","ALBANY, GA 31703-0396","","","REFRACTORY","USD","10000","","","","","false","","ADDTRAN LOGISTICS, INC","","(229) 438-0141","","P.O. BOX 50396 ALBANY, GA 31703-0396",""
"65054","ADM LOGISTICS, INC.","Active","","","(888) 411-5666","","P.O. Box 1470 ","Decatur, IL 62525","","","Food Seasonings","USD","10000","","","","","false","","ADM LOGISTICS, INC.","","(888) 411-5666","","P.O. Box 1470 Decatur, IL 62525",""
"65389","ADVANCED FREIGHT LOGISTICS","Active","","","(330) 668-2442","","P.O. Box 4185  ","Copley, OH 44321","","","peaches in drums","USD","10000","","","","","false","","ADVANCED FREIGHT LOGISTICS","","(330) 668-2442","","P.O. Box 4185  Copley, OH 44321",""
"67139","AM TRANS EXPEDITE, INC","Active","","","(630) 639-6655","","P.O. BOX 67066 ","NEWARK, NJ 07101-8082","","","DSV TRANSFER","USD","10000","","","","","false","","AM TRANS EXPEDITE, INC","","(630) 639-6655","(847) 238-0400","P.O. BOX 67066 NEWARK, NJ 07101-8082",""
"69270","Ameri-Co Logistics, Inc.","Active","","","(512) 261-0094","","PO Box 1649 ","Scottsbluff, NE 69363","","","PALLETS","USD","10000","","","","","false","","Ameri-Co Logistics, Inc.","","(512) 261-0094","","PO Box 1649 Scottsbluff, NE 69363",""
"68511","American Diamond Logistics","Active","","","(817) 491-9791","","PO Box 80049 ","Keller, TX 76244","","","Bottled Water","USD","10000","","","","","false","","American Diamond Logistics","","(817) 491-9791","","PO Box 80049 Keller, TX 76244",""
"68413","American Logistics Group","Active","","","(716) 337-5000","","PO BOX 4 ","SYOSSET, NY 11791","","","PAPER","USD","10000","","","","","false","","American Logistics Group","","(716) 337-5000","","PO BOX 4 SYOSSET, NY 11791",""
"65647","American National Diversified","Active","","","(903) 527-0420","","4856 I-30 West ","Caddo Mills, TX 75135","","","Bottled Beverage","USD","10000","","","","","false","","American National Diversified","","(903) 527-0420","","4856 I-30 West Caddo Mills, TX 75135",""
"62095","AMSTAN LOGISTICS","Active","","","(800) 322-5546",""," VORA TECHNOLOGY PARK 101 KNIGHTSBRIDGE DRIVE ","HAMILTON, OH 45011","","","CARDBOARD DISPLAYS","USD","10000","","","","","false","","AMSTAN LOGISTICS","","(800) 322-5546",""," VORA TECHNOLOGY PARK 101 KNIGHTSBRIDGE DRIVE HAMILTON, OH 45011",""
"64419","AMX Logistics","Active","","","(334) 699-2760","","PO BOX 487 ","ASHFORD, AL 36312","","","Food &amp; Beverage Products","USD","10000","","","","","false","","AMX Logistics","","(334) 699-2760","","PO BOX 487 ASHFORD, AL 36312",""
